"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-06","158","Master Contract","6503-31-001","6503-31-001","No (Single CSJ)","1",,"Tarrant",,,,"527550"
"2026-06","159","Master Contract","6504-19-001","6504-19-001","No (Single CSJ)","1",,"Franklin",,,,"74370"
"2026-06","160","Master Contract","6499-93-001","6499-93-001","No (Single CSJ)","1",,"Lubbock",,,,"776853"
"2026-06","161","Master Contract","6494-08-001","6494-08-001","No (Single CSJ)","1",,"Victoria",,,,"206840"
"2026-06","162","Master Contract","6502-37-001","6502-37-001","No (Single CSJ)","1",,"Brazos",,,,"202800"
"2026-06","163","Master Contract","6487-37-001","6487-37-001","No (Single CSJ)","1",,"Williamson",,,,"229978"
"2026-06","164","Master Contract","6500-38-001","6500-38-001","No (Single CSJ)","1",,"Rusk",,,,"3970361.9"
"2026-06","165","Master Contract","6502-31-001","6502-31-001","No (Single CSJ)","1",,"Washington",,,,"153735"
"2026-06","166","Master Contract","0720-03-153","0720-03-153","Yes (2 Sub-CSJs)","2",,"Harris",,,,"1692028.04"
"2026-06","167","Master Contract","6499-01-001","6499-01-001","No (Single CSJ)","1",,"Webb",,,,"597459.4"
"2026-06","168","Master Contract","6499-96-001","6499-96-001","No (Single CSJ)","1",,"Polk",,,,"678865"
"2026-06","169","Master Contract","6503-23-001","6503-23-001","No (Single CSJ)","1",,"Midland",,,,"54750"
"2026-06","170","Master Contract","0042-05-033","0042-05-033","Yes (5 Sub-CSJs)","5",,"Armstrong",,,,"8256773.5"
"2026-06","171","Master Contract","0937-01-027","0937-01-027","No (Single CSJ)","1",,"Houston",,,,"5065573.3"
"2026-06","172","Master Contract","6501-28-001","6501-28-001","No (Single CSJ)","1",,"Coryell",,,,"380925.95"
"2026-06","173","Master Contract","6504-36-001","6504-36-001","No (Single CSJ)","1",,"Lamar",,,,"52530"
"2026-06","174","Master Contract","0073-03-071","0073-03-071","No (Single CSJ)","1",,"Atascosa",,,,"1177534.93"
"2026-06","175","Master Contract","0915-00-284","0915-00-284","No (Single CSJ)","1",,"Bexar",,,,"2949230"
"2026-06","176","Master Contract","6501-55-001","6501-55-001","No (Single CSJ)","1",,"Bowie",,,,"984050"
"2026-06","177","Master Contract","0903-15-113","0903-15-113","Yes (4 Sub-CSJs)","4",,"Cooke",,,,"1296300"
