"Month","Sub Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-09","1","Sub-CSJ Project","0844-04-011","2252-01-010","Sub-CSJ of 0844-04-011","Sub-CSJ #2",,"Collingsworth",,,,".00"
"2026-09","2","Sub-CSJ Project","1414-01-025","0912-72-876","Sub-CSJ of 1414-01-025","Sub-CSJ #2",,"Galveston",,,,".00"
"2026-09","3","Sub-CSJ Project","1414-01-025","0981-02-014","Sub-CSJ of 1414-01-025","Sub-CSJ #3",,"Galveston",,,,".00"
"2026-09","4","Sub-CSJ Project","1414-01-025","1844-02-025","Sub-CSJ of 1414-01-025","Sub-CSJ #4",,"Galveston",,,,".00"
"2026-09","5","Sub-CSJ Project","1414-01-025","3055-01-011","Sub-CSJ of 1414-01-025","Sub-CSJ #5",,"Galveston",,,,".00"
"2026-09","6","Sub-CSJ Project","1414-01-025","1844-01-032","Sub-CSJ of 1414-01-025","Sub-CSJ #6",,"Galveston",,,,".00"
"2026-09","7","Sub-CSJ Project","0001-01-075","0167-01-136","Sub-CSJ of 0001-01-075","Sub-CSJ #2",,"El Paso",,,,".00"
"2026-09","8","Sub-CSJ Project","0001-01-075","2326-01-032","Sub-CSJ of 0001-01-075","Sub-CSJ #3",,"El Paso",,,,".00"
"2026-09","9","Sub-CSJ Project","0001-01-075","1046-01-048","Sub-CSJ of 0001-01-075","Sub-CSJ #4",,"El Paso",,,,".00"
"2026-09","10","Sub-CSJ Project","0001-01-075","0674-01-079","Sub-CSJ of 0001-01-075","Sub-CSJ #5",,"El Paso",,,,".00"
"2026-09","11","Sub-CSJ Project","0001-01-075","0167-01-135","Sub-CSJ of 0001-01-075","Sub-CSJ #6",,"El Paso",,,,".00"
"2026-09","12","Sub-CSJ Project","0001-01-075","0001-04-107","Sub-CSJ of 0001-01-075","Sub-CSJ #7",,"El Paso",,,,".00"
"2026-09","13","Sub-CSJ Project","0001-01-075","0924-06-716","Sub-CSJ of 0001-01-075","Sub-CSJ #8",,"El Paso",,,,".00"
"2026-09","14","Sub-CSJ Project","0001-01-075","0924-06-724","Sub-CSJ of 0001-01-075","Sub-CSJ #9",,"El Paso",,,,".00"
"2026-09","15","Sub-CSJ Project","0001-01-075","0924-06-721","Sub-CSJ of 0001-01-075","Sub-CSJ #10",,"El Paso",,,,".00"
"2026-09","16","Sub-CSJ Project","0001-01-075","0001-04-106","Sub-CSJ of 0001-01-075","Sub-CSJ #11",,"El Paso",,,,".00"
"2026-09","17","Sub-CSJ Project","0001-01-075","0674-01-080","Sub-CSJ of 0001-01-075","Sub-CSJ #12",,"El Paso",,,,".00"
"2026-09","18","Sub-CSJ Project","0001-01-075","3451-01-050","Sub-CSJ of 0001-01-075","Sub-CSJ #13",,"El Paso",,,,".00"
"2026-09","19","Sub-CSJ Project","0600-01-013","0600-02-015","Sub-CSJ of 0600-01-013","Sub-CSJ #2",,"Ward",,,,".00"
"2026-09","20","Sub-CSJ Project","0600-01-013","0866-07-016","Sub-CSJ of 0600-01-013","Sub-CSJ #3",,"Ward",,,,".00"
"2026-09","21","Sub-CSJ Project","0600-01-013","2905-01-015","Sub-CSJ of 0600-01-013","Sub-CSJ #4",,"Ward",,,,".00"
"2026-09","22","Sub-CSJ Project","0600-01-013","2262-03-018","Sub-CSJ of 0600-01-013","Sub-CSJ #5",,"Ward",,,,".00"
"2026-09","23","Sub-CSJ Project","0600-01-013","1639-01-019","Sub-CSJ of 0600-01-013","Sub-CSJ #6",,"Ward",,,,".00"
"2026-09","24","Sub-CSJ Project","0600-01-013","0695-01-019","Sub-CSJ of 0600-01-013","Sub-CSJ #7",,"Ward",,,,".00"
"2026-09","25","Sub-CSJ Project","0600-01-013","2384-01-011","Sub-CSJ of 0600-01-013","Sub-CSJ #8",,"Ward",,,,".00"
"2026-09","26","Sub-CSJ Project","0600-01-013","2262-01-022","Sub-CSJ of 0600-01-013","Sub-CSJ #9",,"Ward",,,,".00"
"2026-09","27","Sub-CSJ Project","0086-07-038","0696-03-018","Sub-CSJ of 0086-07-038","Sub-CSJ #2",,"Jim Hogg",,,,".00"
"2026-09","28","Sub-CSJ Project","0086-07-038","0696-03-017","Sub-CSJ of 0086-07-038","Sub-CSJ #3",,"Jim Hogg",,,,".00"
