"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-07","70","Master Contract","0786-01-095","0786-01-095","Yes (2 Sub-CSJs)","2",,"Jefferson",,,,"6050405.96"
"2026-07",,"Sub-CSJ Project","0786-01-095","0368-03-042","Sub-CSJ of 0786-01-095","Sub-CSJ #2",,"Jefferson",,,,".00"
"2026-07","71","Master Contract","6498-75-001","6498-75-001","No (Single CSJ)","1",,"Bell",,,,"1367899"
"2026-07","72","Master Contract","0617-02-080","0617-02-080","No (Single CSJ)","1",,"Nueces",,,,"542860"
"2026-07","73","Master Contract","0143-01-068","0143-01-068","No (Single CSJ)","1",,"Bexar",,,,"2571222.84"
"2026-07","74","Master Contract","1421-01-027","1421-01-027","Yes (2 Sub-CSJs)","2",,"Liberty",,,,"6892326.85"
"2026-07",,"Sub-CSJ Project","1421-01-027","1421-01-028","Sub-CSJ of 1421-01-027","Sub-CSJ #2",,"Liberty",,,,".00"
"2026-07","75","Master Contract","0902-90-112","0902-90-112","No (Single CSJ)","1",,"Tarrant",,,,"4188498.3"
"2026-07","76","Master Contract","0291-10-117","0291-10-117","No (Single CSJ)","1",,"Bexar",,,,"3360948.26"
"2026-07","77","Master Contract","0918-00-466","0918-00-466","No (Single CSJ)","1",,"Dallas",,,,"538196.25"
"2026-07","78","Master Contract","0921-00-091","0921-00-091","No (Single CSJ)","1",,"Hidalgo",,,,"2404056"
"2026-07","79","Master Contract","0015-09-208","0015-09-208","No (Single CSJ)","1",,"Williamson",,,,"3081165.65"
"2026-07","80","Master Contract","0205-01-052","0205-01-052","No (Single CSJ)","1",,"Robertson",,,,"1150405"
"2026-07","81","Master Contract","0912-72-842","0912-72-842","No (Single CSJ)","1",,"Harris",,,,"1553482"
"2026-07","82","Master Contract","6501-14-001","6501-14-001","No (Single CSJ)","1",,"Childress",,,,"730080"
"2026-07","83","Master Contract","6501-44-001","6501-44-001","No (Single CSJ)","1",,"Hopkins",,,,"1988535"
"2026-07","84","Master Contract","0229-01-042","0229-01-042","No (Single CSJ)","1",,"Ector",,,,"46211492.52"
"2026-07","85","Master Contract","6502-10-001","6502-10-001","No (Single CSJ)","1",,"Upshur",,,,"1041766.75"
"2026-07","86","Master Contract","0171-04-087","0171-04-087","No (Single CSJ)","1",,"Tarrant",,,,"347739.5"
"2026-07","87","Master Contract","6503-33-001","6503-33-001","No (Single CSJ)","1",,"Lamar",,,,"1582500"
"2026-07","88","Master Contract","0910-00-160","0910-00-160","No (Single CSJ)","1",,"Smith",,,,"377300"
"2026-07","89","Master Contract","0314-04-036","0314-04-036","No (Single CSJ)","1",,"Erath",,,,"1496633.98"
"2026-07","90","Master Contract","0909-40-079","0909-40-079","Yes (5 Sub-CSJs)","5",,"Limestone",,,,"2284078.21"
