Record Type,Master CSJ,Project CSJ,Is Sub CSJ,Let Date,County,Highway,District,Project Type,Estimate ($),Sub CSJ Count
Master Contract,1801-01-064,1801-01-064,No (Parent),,Cameron,,,,464860.04,0
Master Contract,6502-47-001,6502-47-001,No (Parent),,Madison,,,,345038.5,0
Master Contract,6507-63-001,6507-63-001,No (Parent),,Harris,,,,285800.28,0
Master Contract,6501-50-001,6501-50-001,No (Parent),,Jefferson,,,,533742,0
Master Contract,0901-19-198,0901-19-198,No (Parent),,Grayson,,,,2504656.39,0
Master Contract,6508-22-001,6508-22-001,No (Parent),,Tom Green,,,,372480,0
Master Contract,0043-17-036,0043-17-036,No (Parent),,Wichita,,,,1188329,0
Master Contract,6504-27-001,6504-27-001,No (Parent),,Lamb,,,,800860.2,0
Master Contract,6507-28-001,6507-28-001,No (Parent),,Shelby,,,,233650,0
Master Contract,6496-53-001,6496-53-001,No (Parent),,Hays,,,,2112600,0
Master Contract,6506-60-001,6506-60-001,No (Parent),,Taylor,,,,277174.5,0
Master Contract,6508-89-001,6508-89-001,No (Parent),,San Patricio,,,,287100,0
Master Contract,6506-45-001,6506-45-001,No (Parent),,Cameron,,,,614804,0
Master Contract,6507-48-001,6507-48-001,No (Parent),,Bowie,,,,690850,0
Master Contract,6507-70-001,6507-70-001,No (Parent),,Deaf Smith,,,,648338.5,0
Master Contract,0028-05-057,0028-05-057,No (Parent),,Liberty,,,,12430020.6,0
Master Contract,6506-39-001,6506-39-001,No (Parent),,Culberson,,,,59670,0
Master Contract,6504-84-001,6504-84-001,No (Parent),,Tom Green,,,,537511.22,0
Master Contract,6504-81-001,6504-81-001,No (Parent),,El Paso,,,,1625640,0
Master Contract,6505-17-001,6505-17-001,No (Parent),,Travis,,,,1541660.5,0
Master Contract,6503-17-001,6503-17-001,No (Parent),,Kaufman,,,,462962.5,0
Master Contract,6502-42-001,6502-42-001,No (Parent),,Kaufman,,,,266150,0
Master Contract,0275-03-072,0275-03-072,No (Parent),,Carson,,,,10704179.35,0
Master Contract,6502-15-001,6502-15-001,No (Parent),,Denton,,,,52000,0
Master Contract,0181-01-071,0181-01-071,No (Parent),,Taylor,,,,307957.6,0
Master Contract,6509-07-001,6509-07-001,No (Parent),,Grayson,,,,542915.5,0
Master Contract,6508-03-001,6508-03-001,No (Parent),,Panola,,,,651828.02,0
Master Contract,0110-06-151,0110-06-151,No (Parent),,Harris,,,,1284248.1,0
Master Contract,6501-05-001,6501-05-001,No (Parent),,Tom Green,,,,1329347,0
Master Contract,0068-05-039,0068-05-039,No (Parent),,Dawson,,,,4420417.03,0
Master Contract,0902-39-050,0902-39-050,No (Parent),,Palo Pinto,,,,515079.4,0
Master Contract,0903-28-073,0903-28-073,No (Parent),,Montague,,,,3059363.99,0
Master Contract,6507-75-001,6507-75-001,No (Parent),,Pecos,,,,30000,0
Master Contract,6501-34-001,6501-34-001,No (Parent),,Ellis,,,,474779,0
Master Contract,0865-01-118,0865-01-118,No (Parent),,Hidalgo,,,,631956.66,0
Master Contract,0573-02-008,0573-02-008,No (Parent),,Caldwell,,,,5431676.47,0
Master Contract,6484-49-001,6484-49-001,No (Parent),,Travis,,,,778586.96,0
Master Contract,6506-25-001,6506-25-001,No (Parent),,Duval,,,,186870,0
Master Contract,6503-34-001,6503-34-001,No (Parent),,Dallas,,,,381100,0
Master Contract,6499-77-001,6499-77-001,No (Parent),,Nueces,,,,175607.5,0
Master Contract,0976-03-120,0976-03-120,No (Parent),,Galveston,,,,474314.6,0
Master Contract,6509-94-001,6509-94-001,No (Parent),,Ward,,,,220000,0
Master Contract,6501-92-001,6501-92-001,No (Parent),,Denton,,,,215570,0
Master Contract,0173-04-063,0173-04-063,No (Parent),,Kaufman,,,,949220.25,0
Master Contract,6508-96-001,6508-96-001,No (Parent),,Hopkins,,,,197610.4,0
Master Contract,6507-78-001,6507-78-001,No (Parent),,Midland,,,,528050,0
Master Contract,6504-85-001,6504-85-001,No (Parent),,Reagan,,,,216000,0
Master Contract,6500-91-001,6500-91-001,No (Parent),,Fayette,,,,1182215.39,0
Master Contract,6497-17-001,6497-17-001,No (Parent),,Cameron,,,,521286,0
Master Contract,6502-03-001,6502-03-001,No (Parent),,Palo Pinto,,,,1204220,0
Master Contract,6499-40-001,6499-40-001,No (Parent),,Crane,,,,298020,0
Master Contract,0101-01-070,0101-01-070,No (Parent),,Bee,,,,1470996.52,0
