"Month","Sub Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-07","45","Sub-CSJ Project","1392-03-017","1973-01-021","Sub-CSJ of 1392-03-017","Sub-CSJ #2",,"Collin",,,,".00"
"2026-07","46","Sub-CSJ Project","0700-04-058","0700-04-055","Sub-CSJ of 0700-04-058","Sub-CSJ #2",,"Llano",,,,".00"
"2026-07","47","Sub-CSJ Project","0700-04-058","0700-04-057","Sub-CSJ of 0700-04-058","Sub-CSJ #3",,"Llano",,,,".00"
"2026-07","48","Sub-CSJ Project","0786-01-095","0368-03-042","Sub-CSJ of 0786-01-095","Sub-CSJ #2",,"Jefferson",,,,".00"
"2026-07","49","Sub-CSJ Project","1421-01-027","1421-01-028","Sub-CSJ of 1421-01-027","Sub-CSJ #2",,"Liberty",,,,".00"
"2026-07","50","Sub-CSJ Project","0909-40-079","0909-37-082","Sub-CSJ of 0909-40-079","Sub-CSJ #2",,"Limestone",,,,".00"
"2026-07","51","Sub-CSJ Project","0909-40-079","0909-40-094","Sub-CSJ of 0909-40-079","Sub-CSJ #3",,"Limestone",,,,".00"
"2026-07","52","Sub-CSJ Project","0909-40-079","0909-40-095","Sub-CSJ of 0909-40-079","Sub-CSJ #4",,"Limestone",,,,".00"
"2026-07","53","Sub-CSJ Project","0909-40-079","0909-40-090","Sub-CSJ of 0909-40-079","Sub-CSJ #5",,"Limestone",,,,".00"
"2026-07","54","Sub-CSJ Project","0199-01-090","0199-01-091","Sub-CSJ of 0199-01-090","Sub-CSJ #2",,"Cherokee",,,,".00"
"2026-07","55","Sub-CSJ Project","0712-01-052","0712-02-021","Sub-CSJ of 0712-01-052","Sub-CSJ #2",,"Johnson",,,,".00"
"2026-07","56","Sub-CSJ Project","0520-09-057","0910-07-103","Sub-CSJ of 0520-09-057","Sub-CSJ #2",,"Anderson",,,,".00"
"2026-07","57","Sub-CSJ Project","0520-09-057","0919-02-043","Sub-CSJ of 0520-09-057","Sub-CSJ #3",,"Anderson",,,,".00"
"2026-07","58","Sub-CSJ Project","0117-01-062","2851-01-055","Sub-CSJ of 0117-01-062","Sub-CSJ #2",,"Brazos",,,,".00"
"2026-07","59","Sub-CSJ Project","0117-01-062","2446-01-037","Sub-CSJ of 0117-01-062","Sub-CSJ #3",,"Brazos",,,,".00"
"2026-07","60","Sub-CSJ Project","0117-01-062","0117-09-006","Sub-CSJ of 0117-01-062","Sub-CSJ #4",,"Brazos",,,,".00"
"2026-07","61","Sub-CSJ Project","0117-01-062","2130-01-014","Sub-CSJ of 0117-01-062","Sub-CSJ #5",,"Brazos",,,,".00"
"2026-07","62","Sub-CSJ Project","0117-01-062","0315-03-073","Sub-CSJ of 0117-01-062","Sub-CSJ #6",,"Brazos",,,,".00"
"2026-07","63","Sub-CSJ Project","0117-01-062","0315-02-061","Sub-CSJ of 0117-01-062","Sub-CSJ #7",,"Brazos",,,,".00"
"2026-07","64","Sub-CSJ Project","0117-01-062","1562-03-022","Sub-CSJ of 0117-01-062","Sub-CSJ #8",,"Brazos",,,,".00"
"2026-07","65","Sub-CSJ Project","0117-01-062","1562-04-016","Sub-CSJ of 0117-01-062","Sub-CSJ #9",,"Brazos",,,,".00"
"2026-07","66","Sub-CSJ Project","0117-01-062","1809-01-023","Sub-CSJ of 0117-01-062","Sub-CSJ #10",,"Brazos",,,,".00"
"2026-07","67","Sub-CSJ Project","0117-01-062","0205-01-053","Sub-CSJ of 0117-01-062","Sub-CSJ #11",,"Brazos",,,,".00"
"2026-07","68","Sub-CSJ Project","0117-01-062","0205-02-078","Sub-CSJ of 0117-01-062","Sub-CSJ #12",,"Brazos",,,,".00"
"2026-07","69","Sub-CSJ Project","0117-01-062","0204-09-067","Sub-CSJ of 0117-01-062","Sub-CSJ #13",,"Brazos",,,,".00"
"2026-07","70","Sub-CSJ Project","0117-01-062","0262-06-036","Sub-CSJ of 0117-01-062","Sub-CSJ #14",,"Brazos",,,,".00"
"2026-07","71","Sub-CSJ Project","0019-01-153","0259-05-086","Sub-CSJ of 0019-01-153","Sub-CSJ #2",,"Johnson",,,,".00"
"2026-07","72","Sub-CSJ Project","0915-12-782","0915-12-786","Sub-CSJ of 0915-12-782","Sub-CSJ #2",,"Bexar",,,,".00"
"2026-07","73","Sub-CSJ Project","0915-12-782","0915-12-784","Sub-CSJ of 0915-12-782","Sub-CSJ #3",,"Bexar",,,,".00"
"2026-07","74","Sub-CSJ Project","0915-12-782","0915-12-796","Sub-CSJ of 0915-12-782","Sub-CSJ #4",,"Bexar",,,,".00"
