Master Index,Record Type,Master (Parent) CSJ,Individual Project CSJ,Has Multi-CSJs?,Sub-CSJ Count,Let Date,County,Highway,District,Project Type,Estimate ($)
67,Master Contract,6505-47-001,6505-47-001,No (Single CSJ),1,,Upton,,,,271612.5
68,Master Contract,6505-59-001,6505-59-001,No (Single CSJ),1,,Tarrant,,,,467943.89
69,Master Contract,6486-78-001,6486-78-001,No (Single CSJ),1,,Dallas,,,,1
70,Master Contract,1505-01-016,1505-01-016,No (Single CSJ),1,,Cameron,,,,11236733.53
71,Master Contract,6494-58-001,6494-58-001,No (Single CSJ),1,,Fort Bend,,,,532900
72,Master Contract,6503-47-001,6503-47-001,No (Single CSJ),1,,Dallas,,,,351250
73,Master Contract,6506-17-001,6506-17-001,No (Single CSJ),1,,Hunt,,,,235378.92
74,Master Contract,6502-47-001,6502-47-001,No (Single CSJ),1,,Madison,,,,345038.5
75,Master Contract,6504-01-001,6504-01-001,No (Single CSJ),1,,Colorado,,,,668720
76,Master Contract,1801-01-064,1801-01-064,No (Single CSJ),1,,Cameron,,,,464860.04
77,Master Contract,6508-22-001,6508-22-001,No (Single CSJ),1,,Tom Green,,,,372480
78,Master Contract,6501-50-001,6501-50-001,No (Single CSJ),1,,Jefferson,,,,533742
79,Master Contract,6500-58-001,6500-58-001,No (Single CSJ),1,,Webb,,,,6683574.77
80,Master Contract,6507-63-001,6507-63-001,No (Single CSJ),1,,Harris,,,,285800.28
81,Master Contract,0043-17-036,0043-17-036,No (Single CSJ),1,,Wichita,,,,1188329
82,Master Contract,0901-19-198,0901-19-198,Yes (4 Sub-CSJs),4,,Grayson,,,,2504656.39
83,Master Contract,6504-27-001,6504-27-001,No (Single CSJ),1,,Lamb,,,,800860.2
84,Master Contract,6507-28-001,6507-28-001,No (Single CSJ),1,,Shelby,,,,233650
85,Master Contract,6496-53-001,6496-53-001,No (Single CSJ),1,,Hays,,,,2112600
86,Master Contract,6506-60-001,6506-60-001,No (Single CSJ),1,,Taylor,,,,277174.5
87,Master Contract,6508-89-001,6508-89-001,No (Single CSJ),1,,San Patricio,,,,287100
88,Master Contract,6506-45-001,6506-45-001,No (Single CSJ),1,,Cameron,,,,614804
89,Master Contract,6507-48-001,6507-48-001,No (Single CSJ),1,,Bowie,,,,690850
90,Master Contract,6507-70-001,6507-70-001,No (Single CSJ),1,,Deaf Smith,,,,648338.5
91,Master Contract,0028-05-057,0028-05-057,Yes (27 Sub-CSJs),27,,Liberty,,,,12430020.6
92,Master Contract,6506-39-001,6506-39-001,No (Single CSJ),1,,Culberson,,,,59670
93,Master Contract,6504-84-001,6504-84-001,No (Single CSJ),1,,Tom Green,,,,537511.22
94,Master Contract,6504-81-001,6504-81-001,No (Single CSJ),1,,El Paso,,,,1625640
95,Master Contract,6505-02-001,6505-02-001,No (Single CSJ),1,,Hopkins,,,,130930
96,Master Contract,6505-17-001,6505-17-001,No (Single CSJ),1,,Travis,,,,1541660.5
97,Master Contract,6503-17-001,6503-17-001,No (Single CSJ),1,,Kaufman,,,,462962.5
98,Master Contract,6502-42-001,6502-42-001,No (Single CSJ),1,,Kaufman,,,,266150
99,Master Contract,0275-03-072,0275-03-072,No (Single CSJ),1,,Carson,,,,10704179.35
100,Master Contract,6502-15-001,6502-15-001,No (Single CSJ),1,,Denton,,,,52000
101,Master Contract,0181-01-071,0181-01-071,No (Single CSJ),1,,Taylor,,,,307957.6
102,Master Contract,6509-07-001,6509-07-001,No (Single CSJ),1,,Grayson,,,,542915.5
